siteid,W_Chl-a_ug_per_mL,rock_area,B_Chl-a_ug_per_cm2
01M01,0,76.2,0.160
01M02,0,75.0,0.267
01M03,0,73.4,0.275
01M04,0,61.2,0.024
01M05,0,75.0,0.029
01M06,9.624197983,75.0,0.055
02M01,8.178957107,75.0,0.149
02M02,0,75.0,0.060
02M03,0,75.0,0.065
02M04,10.68700743,75.0,0.025
02M05,11.02244728,75.0,0.288
02M06,15.65461676,75.0,0.046
02M07,197.1425769,75.0,0.259
02M08,2.891405137,75.0,0.040
02M09,0,75.0,0.209
02M10,0,75.0,0.088
02M11,47.87184038,75.0,0.066
04M01,0,74.9,0.269
04M02,0,36.4,0.043
04M03,9.618698969,56.0,0.534
04M04,0,65.9,0.911
04M05,11.48736393,67.8,0.414
04M06,0,71.9,1.150
04M07,40.86109737,71.9,1.118
04M08,110.9540301,83.0,0.691
04M09,69.10203392,40.5,1.668
04M10,NA,33.5,0.164
04M11,19.96584378,54.3,0.268
04M12,138.4690968,83.6,0.179
04M13,NA,52.1,0.552
04T01,NA,57.1,0.044
04T02,16.13153125,50.9,0.389
04W01,NA,75.0,0.027
04W02,0,56.5,0.036
04W03,29.79008235,75.0,0.019
04W04,0,71.2,0.021
20M01,NA,75.0,0.838
20M02,235.0942724,62.5,0.087
20M03,NA,82.9,0.159
20M04,98.40627983,66.4,0.734
20M05,24.12009895,89.7,0.279
SFM01,0,86.8,0.140
SFM02,0,76.0,0.266
SFM03,0,75.0,0.064
SFM04,21.02615367,75.0,0.655
SFM05,4.068694055,75.9,0.202
SFM06,90.8066424,94.6,0.185
SFM07,18.03918922,61.5,0.191
SFT01,0,79.0,0.314
SFT02,2.149027918,91.0,0.428
