siteid,Biofilm_B_Glucosidase_Activity_(umoles_hr_1_mL_1_cm_2),Biofilm_Phospahtase_Activity_(umoles_hr_1_mL_1_cm_2),Biofilm_N_Acetylglucosaminidase_Activity_(umoles_hr_1_mL_1_cm_2),Water_B_Glucosidase_Activity_(umoles_hr_1_mL_1),Water_Phospahtase_Activity_(umoles_hr_1_mL_1),Water_N_Acetylglucosaminidase_Activity_(umoles_hr_1_mL_1),Leaf_Litter_B_Glucosidase_Activity_(umolperhperg_DW),Leaf_Litter_B_Glucosidase_Activity_(umolperhperg_OM),Leaf_Litter_Phosphatase_Activity_(umolperhperg_DW),Leaf_Litter_Phosphatase_Activity_(umolperhperg_OM),Leaf_Litter_N_Acetylglucosaminidase_Activity_(umolperhperg_DW),Leaf_Litter_N_Acetylglucosaminidase_Activity_(umolperhperg_OM),Leaf_Litter_Phenol_Oxidase_Activity_(umolperhperg_DW),Leaf_Litter_Phenol_Oxidase_Activity_(umolperhperg_OM),Leaf_Litter_Peroxidase_Activity_(umolperhperg_DW),Leaf_Litter_Peroxidase_Activity_(umolperhperg_OM),Sediment_B_Glucosidase_Activity_(umolperhperg_DW),Sediment_B_Glucosidase_Activity_(umolperhperg_OM),Sediment_Phosphatase_Activity_(umolperhperg_DW),Sediment_Phosphatase_Activity_(umolperhperg_OM),Sediment_N_Acetylglucosaminidase_Activity_(umolperhperg_DW),Sediment_N_Acetylglucosaminidase_Activity_(umolperhperg_OM),Sediment_Phenol_Oxidase_Activity_(umolperhperg_DW),Sediment_Phenol_Activity_(umolperhperg_OM),Sediment_Peroxidase_Activity_(umolperhperg_DW),Sediment_Peroxidase_Activity_(umolperhperg_OM)
01M01,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758
01M02,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0
01M03,0.001202616,0.01404022,0.021861353,0.0210615,0.044938581,0.034667084,40.79157357,40.79157357,25.16757102,25.16757102,4.979253112,4.979253112,15.8752959,15.8752959,10.18707913,10.18707913,0.083266235,1.589628125,0.292901227,5.591750699,0.01327906,0.253509322,0.485640925,9.271326749,0.287383765,4.003357257
01M04,0.013192676,0.033271039,0.005775232,0.002434341,0.060129652,0.020439514,49.27616413,49.27616413,16.42538804,16.42538804,7.56518621,7.56518621,7.768150583,7.768150583,14.46071108,14.46071108,0.076700048,1.418950885,0.294265553,5.443912733,0.008555388,0.158274677,0.424522659,7.853669189,0.137469635,0.781476948
01M05,0.010174052,0.103943622,0.006168171,0.001847746,0.053112135,0.003450885,13.33282106,11.42813234,5.442856411,4.665305495,2.853508188,2.445864161,2.991069947,2.56377424,6.320751585,5.417787073,0.080511677,1.85176856,0.142596385,3.27971685,0.005858831,0.134753111,0.327931088,7.542415029,0,0.423767942
01M06,0.004579653,0.019421436,0.002640662,0.048701299,0.019718557,0.003190212,35.8961842,23.93078947,26.8163697,17.8775798,5.44571909,3.630479393,20.35185153,13.56790102,8.646900649,5.764600432,0.076790429,1.850649351,0.248004646,5.976911977,0.01327242,0.31986532,0.435891417,10.50498314,0.156371151,2.761026042
02M01,,,,0.071862908,0.08881306,0,6.680031735,10.85505157,9.420650161,15.30855651,2.277228837,3.700496859,7.733607037,12.56711144,4.38744726,7.129601798,0.331863489,8.185966051,1.059443406,26.13293735,0.033024092,0.814594263,0.561313202,13.84572565,0.026764212,3.950119807
02M02,,,,0.020519836,0.223432052,0.031913593,4.836906408,6.449208545,10.0478331,13.3971108,3.015406485,4.02054198,2.023267105,2.697689473,8.164961159,10.88661488,0.049185536,1.174987805,0.238161543,5.689414634,0.008736904,0.208714939,0.309306951,7.388999397,0,2.234993029
02M03,,,,0,0.011451176,0.019143049,32.56002533,49.7976858,20.30060883,31.04798997,7.836004769,11.98447788,8.083198454,12.36253881,13.3110333,20.35805093,0.117995365,2.678494778,0.317427701,7.205608814,0.018909514,0.429245958,0.410923447,9.327962251,0,1.401790687
02M04,,,,0.029319093,0.125231239,0,7.898283795,12.75876613,6.101602121,9.856434195,5.079331756,8.205074375,2.593797827,4.189981105,3.884932745,6.275660588,0.099043892,1.944861885,0.209575634,4.115303361,0.015938098,0.31296628,0.515087275,10.11444104,0.239295115,2.345128552
02M05,,,,0.038715272,0.002280977,0.014920164,4.63440619,6.951609286,4.188732301,6.283098451,2.358859551,3.538289327,3.522382556,5.283573834,3.717528404,5.576292606,0.025645499,0.681030468,0.118610432,3.149765916,0.003205687,0.085128809,0.340178069,9.033617617,0.059506092,6.223554005
02M06,,,,0,0.082715891,0.003142184,10.37605758,14.91558277,13.16578544,18.92581658,2.370187393,3.407144377,5.129287646,7.373350992,2.6767594,3.847841638,0.124554548,2.044770502,0.244188423,4.008759948,0.01271174,0.208684397,0.518181323,8.506810057,0.099650254,1.635925011
02M07,,,,0,0.071452638,0,3.823009705,4.50569001,4.543937201,5.355354558,3.344385642,3.941597364,2.801213647,3.30143037,3.402166056,4.009695708,0.117415264,2.594877336,0.308896881,6.826621061,0.01291855,0.285499951,0.533933276,11.79992539,0.110693484,2.446325996
02M08,,,,0.033756778,0.154913256,0.010177401,14.02962865,15.90024581,9.61982334,10.90246645,6.169505693,6.992106452,3.600159979,4.08018131,2.574207653,2.917435341,0.207205146,0,0.713171201,0,0.022831575,0,0.915632179,0,0.409916493,0
02M09,,,,0.012916159,0.001121492,0.072889149,92.81030685,92.81030685,69.39962092,69.39962092,10.27099022,10.27099022,10.08365701,10.08365701,35.68701657,35.68701657,0.100052723,4.235565277,0.206291502,8.733006901,0.011565234,0.489594911,0.386067767,16.34353546,0.243223045,17.86923465
02M10,,,,0.039536943,0.152039512,0.008659615,17.96200828,17.96200828,11.09993434,11.09993434,8.388790316,8.388790316,6.33765199,6.33765199,4.964494059,4.964494059,0.1034389,1.427456822,0.204579158,2.823192381,0.018826974,0.259812247,0.511790548,7.062709557,0.390059677,5.270147274
02M11,,,,0.049471104,0.054887518,0,,,,,,,,,,,0.073077337,1.640918389,0.298445614,6.701460597,0.012179556,0.273486398,0.515145751,11.56736369,0.314208653,5.217733144
04M01,0.006048152,0.048887616,0.006835439,0.018326206,0.098210858,0.006093103,16.8096028,25.61463283,6.861117733,10.45503655,2.268048408,3.456073765,3.015185295,4.594568068,3.920619946,5.974278013,0.111118925,2.389056896,0.203952458,4.384977847,0.010314837,0.221768995,0.556025381,11.95454568,0.239228867,6.280798476
04M02,0,0.040559333,0.00255664,0.047336113,0.096859311,0.058028157,3.947685235,8.882291778,2.876248565,6.471559272,0.780631127,1.756420036,4.17838968,9.401376779,4.17838968,9.401376779,0.097111287,0.999675012,0.316325736,3.25629434,0.014638098,0.150686307,0.709145128,7.300023378,0.245227052,3.604302296
04M03,0.017241906,0.340488568,0.01425926,0.020117576,0.091890905,0.002631075,6.176376711,8.749867007,7.065582697,10.00957549,2.128887303,3.01592368,6.424338943,9.101146836,5.781905049,8.191032153,0.12574688,2.101769286,0.276582681,4.622881962,0.025491956,0.426079831,0.491678763,8.218059317,0,6.430997808
04M04,0.00858875,0.147273358,0.002507255,0.042149631,0.012668397,0,5.945072382,12.38556746,6.385724732,13.30359319,1.776301987,3.700629139,3.593721157,7.486919078,7.151142101,14.89821271,0.18855722,2.796932099,0.41868016,6.210422375,0.024687518,0.366198191,0.513015502,7.609729939,0.27638092,5.371499137
04M05,0.008686178,0.086590373,0.006701682,0,0.01844514,0.032072735,13.22336253,17.98377305,4.416371324,6.006265,4.269015883,5.8058616,3.879968983,5.276757816,4.019035971,5.465888921,0.122567643,2.466673821,0.523226828,10.52993991,0.020119361,0.404902148,0.595118378,11.97675736,0.240186175,5.523596093
04M06,0.008451761,0.093715248,0.033005512,0.043236566,0.005308097,0,43.15352697,53.94190871,12.49214692,15.61518365,6.5593361,8.199170124,6.835972513,8.544965641,11.06184643,13.82730804,0.070398324,2.041551406,0.160462577,4.653414744,0.007600359,0.220410408,0.440511846,12.77484354,0,0
04M07,0.007985969,0.302531789,0.016935407,0.004973659,0,0.077232005,25.7624656,28.33871216,7.087937932,7.796731725,5.305863305,5.836449635,6.33765199,6.97141719,5.160659478,5.676725426,0.031672097,0.977875993,0.133200408,4.112562586,0.004538681,0.140131762,0.420088695,12.97023846,0.151991041,0.269030246
04M08,0.030566689,0.123728083,0.034673194,0,0.046494294,0.002711943,15.84218632,31.68437264,16.64655739,33.29311478,1.592393135,3.184786269,12.01457005,24.0291401,42.20991806,84.41983612,0.069527104,1.599123402,0.218160603,5.017693876,0.007519228,0.172942235,0.3914914,9.0043022,0.050171202,6.520314199
04M09,0.004389993,0.100531059,0.009524373,0.04063893,0.118660894,0,72.86123993,64.76554661,24.64257948,21.9045151,5.251697267,4.668175349,14.60812141,12.98499681,14.18925054,12.61266715,0.084309082,2.242621593,0.212581317,5.654663027,0.012892148,0.342931135,0.403007475,10.71999883,0,5.959570905
04M10,0,0.121565708,0.00664096,0.041419805,0.076096283,0.067553646,54.52999916,54.52999916,47.29347416,47.29347416,12.68432946,12.68432946,18.46972866,18.46972866,81.52653665,81.52653665,0.220121535,3.27430783,0.471642759,7.015686043,0.04294528,0.638811038,0.397527039,5.913214701,0.23974886,4.72904241
04M11,0.03424522,0.199396963,0.016080893,0.017060596,0,0.020994969,23.15583218,7.718610727,37.46350085,12.48783362,2.850776087,0.950258696,27.97281147,9.324270491,25.1842446,8.394748199,0.305679038,4.585185565,0.320947721,4.814215813,0.012825694,0.192385408,0.277053382,4.155800723,0.010776736,0
04M12,0.008142936,0.173609946,0.009017896,0.087616822,0,0.007305976,60.7076994,45.53077455,50.6928436,38.0196327,8.394805594,6.296104195,25.8647877,19.39859078,59.26949507,44.4521213,0.107208337,0.921991701,0.32090307,2.759766405,0.011069772,0.095200041,0.637444617,5.482023703,0.357468078,0
04M13,0.187438992,0.776497554,0.009929169,,,,41.50874995,46.69734369,16.06356862,18.0715147,8.624242926,9.702273291,5.580964201,6.278584726,4.512268928,5.076302544,0.646166751,3.656358198,1.299235149,7.351769622,0.174362457,0.986636339,0.648521858,3.669684659,0.100763657,0
04T01,0.020698746,0.206249314,0.000399995,,,,2.561952578,8.474150834,1.523156038,5.03813151,0.592910988,1.961167114,2.52444319,8.350081321,3.259069515,10.77999917,0.197378702,2.289592941,0.373905529,4.337304138,0.016376815,0.18997105,0.393355308,4.562921571,0,0
04T02,0.028348403,0.247042051,0.013527639,0.071627979,0.149517739,0,46.6473029,46.6473029,31.51659751,31.51659751,1.780082988,1.780082988,22.62772632,22.62772632,32.90633403,32.90633403,0.163973351,1.929098249,0.419473646,4.934984065,0.010832179,0.127437399,0.373848284,4.39821511,0.194316172,0
04W01,0.008607561,0.06979306,0,,,,9.919322615,10.31609552,13.9093879,14.46576342,2.098253163,2.18218329,3.947685457,4.105592876,1.842253213,1.915943342,0.126470537,3.651836754,0.164100473,4.738401157,0.006884675,0.198794991,0.326366581,9.423835013,0,0
04W02,0.003030248,0.015253843,0.008835542,0,0.099049502,0,37.42050785,37.42050785,9.894235973,9.894235973,11.5432753,11.5432753,12.05654642,12.05654642,4.977892272,4.977892272,0.165970331,3.15343629,0.547762887,10.40749486,0.018643798,0.35423216,1.159279415,22.02630889,0.694824615,10.97862145
04W03,0.002703704,0.05206687,0.002724692,0.066185319,0,0.01426985,29.6469187,29.6469187,30.26548333,30.26548333,25.90607551,25.90607551,11.88253162,11.88253162,4.008564884,4.008564884,0.061444833,1.609854613,0.176284956,4.618665856,0.010106646,0.264794136,0.705090042,18.4733591,0,0.319394284
04W04,0.004868797,0.021584517,0.006360971,0,0,0.000969509,47.97717842,47.97717842,10.04927386,10.04927386,4.17639177,4.17639177,30.30349007,30.30349007,3.781371377,3.781371377,0.063931705,0.877995418,0.280921581,3.857989719,0.011232664,0.154261921,0.801057611,11.00119119,0.108239772,3.925395912
20M01,0.267567588,0.258337717,0.129089239,,,,14.73428615,15.47100046,16.77639465,17.61521438,7.71312945,8.098785923,3.308435415,3.473857186,-0.065730505,-0.06901703,0.256316053,3.467011876,0.578429714,7.82402297,0.032980642,0.446106573,0.567203213,7.672169773,0,0
20M02,0.315654945,0.371368967,0.012923002,0.11227154,0.12235956,0.014470988,5.89775114,5.89775114,89.31304749,89.31304749,8.933285522,8.933285522,20.93914949,20.93914949,10.49364273,10.49364273,0.59651487,8.284928746,0.406869771,5.650969035,0.019902784,0.276427556,0.354691159,4.9262661,0,0
20M03,0.007077316,0.091278378,0.00207101,,,,22.48501614,24.85185994,8.054402951,8.90223484,4.628861226,5.116109777,5.19868539,5.745915431,3.376157753,3.73154278,0.133322148,2.580735859,0.44005632,8.518233045,0.015124346,0.29276413,0.456159848,8.829951337,0,0
