siteid,Site,sticID,n_wet,n_total,prc_missing,prc_wet,tempC_mean,LeafSpecies1,LeafSpecies2,LeafSpecies3,Elm,Populus,Oak,Locust,Graminales,Elderberry,Rubrus,Forb,Shrub,Unknown,Rip_type,Sediment Texture Description,Percent Rocks,Percent Leaf Litter,Percent Sediment,FlowStag
01M01,01m01,01M01_1,10330,17866,0.683097717,0.578193216,10.51758144,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Woody,Sandy,5,65,30,flowing
01M02,01m02,01M02_1,4072,47674,0.154371464,0.085413433,16.79887821,Populus,Oak,Oak,0,1,1,0,0,0,0,0,0,0,Woody,Sandy,80,5,15,flowing
01M03,01m03,01M03_1,2322,38271,0.321159338,0.060672572,16.02322855,Locust,Elm,Oak,1,0,1,1,0,0,0,0,0,0,Mixed,Sandy coarse,30,1,50,flowing
01M04,01m04,01M04_2,11530,39571,0.298100289,0.291374997,14.93331606,Populus,Oak,Elm,1,1,1,0,0,0,0,0,0,0,Woody,FBOM find sand and clay,15,1,85,flowing
01M05,01m05,01M05_1,18449,21654,0.615907196,0.851990394,17.02008821,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Woody,FBOM coarse sand,5,1,95,flowing
01M06,01m06,01M06_1,15095,55215,0.020611242,0.273385855,13.46973558,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,Woody,FBOM silt,20,2,78,flowing
02M01,02m01,02M01_1,48,12640,0.775795094,0.003797468,10.92487658,Oak,Oak,Oak,0,0,1,0,0,0,0,0,0,0,Woody,NA,50,5,45,flowing
02M02,02m02,02M02_1,3340,38271,0.321159338,0.087272347,15.41100468,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,Woody,NA,60,10,30,flowing
02M03,02m03,02M03_1,6768,38272,0.3211416,0.176839465,24.28569999,Populus,Elm,Elm,1,1,0,0,0,0,0,0,0,0,Woody,NA,85,2,13,flowing
02M04,02m04,02M04_1,7010,29327,0.479805594,0.239028881,10.9284325,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,Woody,NA,60,10,30,flowing
02M05,02m05,02M05_1,12792,17915,0.682228568,0.714038515,10.72256042,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,Mixed,NA,85,5,10,flowing
02M06,02m06,02M06_1,14020,56003,0.006633911,0.250343732,14.45588754,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,Woody,NA,80,5,15,flowing
02M07,02m07,02M07_1,47737,55997,0.006740337,0.852492098,13.24096219,Elm,Populus,Populus,1,1,0,0,0,0,0,0,0,0,Mixed,NA,85,5,10,flowing
