"","siteid","Site","sticID","n_wet","n_total","prc_missing","prc_wet","tempC_mean","LeafSpecies1","LeafSpecies2","LeafSpecies3","Elm","Populus","Oak","Locust","Graminales","Elderberry","Rubrus","Forb","Shrub","Unknown","Rip_type","Sediment.Texture.Description","Percent.Rocks","Percent.Leaf.Litter","Percent.Sediment","FlowStag","project","date","rType","rep","sublocation","month","time_cst","sub_watershed","burn_area","stream_order","elevation","flow_state","conductivity","canopy_cover_percent","long","lat","stic_sublocation","stream_temp_C_1wk_avg","stream_temp_C_2wk_avg","stream_temp_C_3wk_avg","percent_wet_1wk_avg","percent_wet_2wk_avg","percent_wet_3wk_avg","twi","distance_from_outlet","drainage_area","wetted_width","slope_percent","weather","pH","crewBGC","crewMicro","alpha.cent","page.rank","imp.closeness.cent","betweenness.cent","n.nodes.in.paths","n.paths","upstream.network.length","path.length.mean","path.length.var","path.length.skew","path.length.kurt","path.degree.mean","path.degree.var","path.degree.skew","path.degree.kurt","in.eccentricity","mean.efficiency","W_Chl.a_ug_per_mL","rock_area","B_Chl.a_ug_per_cm2","Biofilm_B_Glucosidase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_Phospahtase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1_cm_2.","Water_B_Glucosidase_Activity_.umoles_hr_1_mL_1.","Water_Phospahtase_Activity_.umoles_hr_1_mL_1.","Water_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_DW.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_DW.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_OM.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_OM.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_OM.","Sediment_B_Glucosidase_Activity_.umolperhperg_DW.","Sediment_B_Glucosidase_Activity_.umolperhperg_OM.","Sediment_Phosphatase_Activity_.umolperhperg_DW.","Sediment_Phosphatase_Activity_.umolperhperg_OM.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Sediment_Phenol_Oxidase_Activity_.umolperhperg_DW.","Sediment_Phenol_Activity_.umolperhperg_OM.","Sediment_Peroxidase_Activity_.umolperhperg_DW.","Sediment_Peroxidase_Activity_.umolperhperg_OM."
"1","01M01","01m01","01M01_1",10330,17866,0.683097717,0.578193216,10.51758144,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Woody","Sandy",5,65,30,"flowing","AIMS",20210605,"ENVD",1,"SW","June","15:35","01M","N1B",3,373.90979,"flowing",560,44.8,-96.577021,39.086665,"HS",14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,"3.26",1.965986462,"clear, some clouds, hot sunny 90s",8.07,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.2,0.16,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758
"2","01M02","01m02","01M02_1",4072,47674,0.154371464,0.085413433,16.79887821,"Populus","Oak","Oak",0,1,1,0,0,0,0,0,0,0,"Woody","Sandy",80,5,15,"flowing","AIMS",20210605,"ENVD",1,"SW","June","17:15","01M","N1B",3,375.4253235,"flowing",562,74,-96.576332,39.086288,"HS",15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,"1.64",6.791313277,"sunny, clear, warm",8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",5,0.0185374181475645,93.75,24,4,4,4,2.5,1.25,0,-1.2,1.5,0.25,0,-6,4,0.0462962962962963,0,75,0.267,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0
"3","01M03","01m03","01M03_1",2322,38271,0.321159338,0.060672572,16.02322855,"Locust","Elm","Oak",1,0,1,1,0,0,0,0,0,0,"Mixed","Sandy coarse",30,1,50,"flowing","AIMS",20210606,"ENVD",1,"SW","June","9:00","01M","N1B",3,378.8143921,"flowing",557.7,2.1,-96.575936,39.084711,"HS",16.58707281,16.81507807,16.89144344,1,1,1,15.67690945,1.7,25.997,"1",4.621014623,"cloudy, warm, nice breeze",8.2,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",4,0.0159281945608593,82.5,21,3,3,3,2,0.666666666666667,0,NA,1.33333333333333,0.222222222222222,1.73205080756888,NA,3,0.0407407407407407,0,73.4,0.275,0.001202616,0.01404022,0.021861353,0.0210615,0.044938581,0.034667084,40.79157357,40.79157357,25.16757102,25.16757102,4.979253112,4.979253112,15.8752959,15.8752959,10.18707913,10.18707913,0.083266235,1.589628125,0.292901227,5.591750699,0.01327906,0.253509322,0.485640925,9.271326749,0.287383765,4.003357257
"4","01M04","01m04","01M04_2",11530,39571,0.298100289,0.291374997,14.93331606,"Populus","Oak","Elm",1,1,1,0,0,0,0,0,0,0,"Woody","FBOM find sand and clay",15,1,85,"flowing","AIMS",20210606,"ENVD",1,"SW","June","10:37","01M","N1B",3,381.355896,"flowing",542.8,85.4,-96.575156,39.083636,"LS",16.35121842,16.62819331,16.70814712,1,1,1,15.51594639,1.84,24.7503,"5.29",5.164930423,"some sun, cloudy",8.13,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",3,0.0128585197529708,67.5,16,2,1,2,1.5,0.25,NA,NA,1,0,NA,NA,2,0.0333333333333333,0,61.2,0.024,0.013192676,0.033271039,0.005775232,0.002434341,0.060129652,0.020439514,49.27616413,49.27616413,16.42538804,16.42538804,7.56518621,7.56518621,7.768150583,7.768150583,14.46071108,14.46071108,0.076700048,1.418950885,0.294265553,5.443912733,0.008555388,0.158274677,0.424522659,7.853669189,0.137469635,0.781476948
"5","01M05","01m05","01M05_1",18449,21654,0.615907196,0.851990394,17.02008821,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Woody","FBOM coarse sand",5,1,95,"flowing","AIMS",20210606,"ENVD",1,"SW","June","12:15","01M","N1B",3,384.7107544,"flowing",527.8,56.3,-96.574188,39.082643,"HS",15.99708767,16.13474349,16.19757807,0.982169391,0.991078067,0.99167245,15.9600172,2,19.8808,"1.6",2.666399599,"some sun, cloudy",8.18,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",2,0.00924713762604314,45,9,1,0,1,1,0,NA,NA,0,0,NA,NA,1,0.0222222222222222,0,75,0.029,0.010174052,0.103943622,0.006168171,0.001847746,0.053112135,0.003450885,13.33282106,11.42813234,5.442856411,4.665305495,2.853508188,2.445864161,2.991069947,2.56377424,6.320751585,5.417787073,0.080511677,1.85176856,0.142596385,3.27971685,0.005858831,0.134753111,0.327931088,7.542415029,0,0.423767942
"6","01M06","01m06","01M06_1",15095,55215,0.020611242,0.273385855,13.46973558,"Elm","Elm","Elm",1,0,0,0,0,0,0,0,0,0,"Woody","FBOM silt",20,2,78,"flowing","AIMS",20210606,"ENVD",1,"SW","June","14:04","01M","N1B",2,394.2240906,"flowing",575.6,60.4,-96.571582,39.080649,"HS",14.76879643,15.05901859,15.15785566,1,1,1,15.75028801,2.46,10.5589,"",1.747324665,"sunny, come clouds",7.99,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,0.00499845277083413,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,9.624197983,75,0.055,0.004579653,0.019421436,0.002640662,0.048701299,0.019718557,0.003190212,35.8961842,23.93078947,26.8163697,17.8775798,5.44571909,3.630479393,20.35185153,13.56790102,8.646900649,5.764600432,0.076790429,1.850649351,0.248004646,5.976911977,0.01327242,0.31986532,0.435891417,10.50498314,0.156371151,2.761026042
"7","02M01","02m01","02M01_1",48,12640,0.775795094,0.003797468,10.92487658,"Oak","Oak","Oak",0,0,1,0,0,0,0,0,0,0,"Woody",NA,50,5,45,"flowing","AIMS",20210605,"ENVD",1,"SW","June","9:21","02M","N1A",1,353.3493958,"flowing",546.1,71.9,-96.58813,39.09188,"LS",15.83346211,16.46933086,16.46933086,1,1,1,17.50626373,0.102,24.1532,"1.1",0.690609994,"sunny, 75deg, clear",7.94,"Erin Seybold, Amy Burgin","Kevin Kuehn, Charlie Bond, Diana Diaz, Brett Nave",11,0.027746636471556,131.803571428571,10,10,10,10,5.5,8.25,0,-1.2,1.8,0.16,-1.77878118384471,1.40625,10,0.0650881834215168,8.178957107,75,0.149,NA,NA,NA,0.071862908,0.08881306,0,6.680031735,10.85505157,9.420650161,15.30855651,2.277228837,3.700496859,7.733607037,12.56711144,4.38744726,7.129601798,0.331863489,8.185966051,1.059443406,26.13293735,0.033024092,0.814594263,0.561313202,13.84572565,0.026764212,3.950119807
"8","02M02","02m02","02M02_1",3340,38271,0.321159338,0.087272347,15.41100468,"Elm","Elm","Elm",1,0,0,0,0,0,0,0,0,0,"Woody",NA,60,10,30,"flowing","AIMS",20210605,"ENVD",1,"SW","June","11:06","02M","N1A",1,356.2748718,"flowing",560.4,86.5,-96.58832556,39.09084425,"HS",15.72499257,16.30161338,16.30161338,1,1,1,16.74125099,0.235,23.732,"1.1",1.458008466,"sunny, clear, 80s",8.22,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz",10,0.0267625690596728,127.303571428571,18,9,9,9,5,6.66666666666667,0,-1.2,1.77777777777778,0.172839506172839,-1.61984774146812,0.734693877551018,9,0.0628659611992945,0,75,0.06,NA,NA,NA,0.020519836,0.223432052,0.031913593,4.836906408,6.449208545,10.0478331,13.3971108,3.015406485,4.02054198,2.023267105,2.697689473,8.164961159,10.88661488,0.049185536,1.174987805,0.238161543,5.689414634,0.008736904,0.208714939,0.309306951,7.388999397,0,2.234993029
"9","02M03","02m03","02M03_1",6768,38272,0.3211416,0.176839465,24.28569999,"Populus","Elm","Elm",1,1,0,0,0,0,0,0,0,0,"Woody",NA,85,2,13,"flowing","AIMS",20210605,"ENVD",1,"SW","June","13:14","02M","N2B",1,358.495636,"flowing",558.4,92.7,-96.58859,39.08991,"HS",15.89609212,16.3893829,16.3893829,1,1,1,15.93150425,0.36,20.3529,"1.9",2.808448387,"sunny (relentless)",8.15,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz",9,0.0256048426927514,122.303571428571,24,8,8,8,4.5,5.25,0,-1.2,1.75,0.1875,-1.44016459964619,0,8,0.0603968253968254,0,75,0.065,NA,NA,NA,0,0.011451176,0.019143049,32.56002533,49.7976858,20.30060883,31.04798997,7.836004769,11.98447788,8.083198454,12.36253881,13.3110333,20.35805093,0.117995365,2.678494778,0.317427701,7.205608814,0.018909514,0.429245958,0.410923447,9.327962251,0,1.401790687
"10","02M04","02m04","02M04_1",7010,29327,0.479805594,0.239028881,10.9284325,"Populus","Populus","Populus",0,1,0,0,0,0,0,0,0,0,"Woody",NA,60,10,30,"flowing","AIMS",20210605,"ENVD",1,"SW","June","15:00","02M","N2B",1,364.2157288,"flowing",558,96.9,-96.589642,39.088242,"",NA,NA,NA,NA,NA,NA,16.02225113,0.62,18.9885,"1.615",2.393399355,"sunny, clear skies",8.12,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz",8,0.0242428116728439,116.678571428571,28,7,7,7,4,4,0,-1.2,1.71428571428571,0.204081632653061,-1.22963409191515,-0.840000000000003,7,0.0576190476190476,10.68700743,75,0.025,NA,NA,NA,0.029319093,0.125231239,0,7.898283795,12.75876613,6.101602121,9.856434195,5.079331756,8.205074375,2.593797827,4.189981105,3.884932745,6.275660588,0.099043892,1.944861885,0.209575634,4.115303361,0.015938098,0.31296628,0.515087275,10.11444104,0.239295115,2.345128552
